Intensity,DTW,Pearson,MI
0.095,15.379012409661376,0.7909212214179815,0.569792291883285
0.096,15.569280838054407,0.7885209679186773,0.5621342504840113
0.097,15.686553465386874,0.7850856979735209,0.5565956925079127
0.098,15.86635949773684,0.7815922400417571,0.5520222644575827
0.099,16.01223113387083,0.7781314269961462,0.5483274954315955
0.1,16.17946860858601,0.7741738888651348,0.5401856085908943
0.101,16.33110245822098,0.772009721994843,0.5363973139765007
0.102,16.495983858923108,0.7685951610642637,0.5290478651730002
0.103,16.680034766319757,0.7654196764371026,0.522946275287065
0.104,16.809576197400805,0.7627993131278158,0.5199226745739548
0.105,16.933288427183157,0.7605271767998253,0.5162630348152318
0.106,17.146694533802865,0.7566102143368826,0.5093335946671053
0.107,17.294832404583453,0.7537227140796707,0.5039223333959945
