Intensity,Average Correlation,Min Correlation,Max Correlation
0.04,0.9902591452579034,0.9102110014621589,1.105824297020911

0.041,0.9776222067223416,0.8990153997512857,1.0815201686226052

0.042,0.9673233344361252,0.8892267032517476,1.0457044806940534

0.043000000000000003,0.9555762673617514,0.8855746186409603,1.0319656823896513

0.044000000000000004,0.9439673309771973,0.8721268982026941,1.0359490299657976

0.045,0.9326640952423312,0.8559415139965943,1.0253516677009786

0.046,0.9229187974763118,0.8453649901619086,1.0193533874616878

0.047,0.9127507956630538,0.8459623938059262,1.0011787498657174

0.048,0.9031710906460827,0.8266615834093946,0.9872561050737197

0.049,0.8900476131316633,0.8110451847595033,0.9973411618984794

0.05,0.8822785058808659,0.7946839005618664,0.9704604017972418

0.051000000000000004,0.8729114188424251,0.7985703784909575,0.963532078935511

0.052000000000000005,0.8619296828905652,0.7632285312868073,0.9573106542336639

0.053000000000000005,0.8523306225077901,0.7732208357858403,0.9340674006544931

0.054,0.8388241025924663,0.7648477400855084,0.9349201441497688

0.055,0.8312704524932931,0.748722539701886,0.9312187814107569

0.056,0.8219472168012574,0.7219407234475315,0.9107177338005228

0.057,0.8113858412450917,0.7163925622963663,0.8980790033582138

0.058,0.8012253373162541,0.7243936671108925,0.9058134742172738

0.059000000000000004,0.7909570410588479,0.7023742482474941,0.8830462543827475

0.060000000000000005,0.7816756246171019,0.6994836959973921,0.8748957814609193

0.061,0.7712500533353656,0.691332532879255,0.8615885986731301

0.062,0.7617461295361584,0.6725060431330706,0.8547253452515426

0.063,0.7514430481328238,0.6729490878483666,0.8512063988470682

0.064,0.74204841562393,0.6598803141188295,0.8256278319076847

0.065,0.7320624139523558,0.6397825874595624,0.8200792326475896

0.066,0.7242633694594304,0.6457318151641338,0.8192418939482258

0.067,0.7163390931389564,0.6395208808475251,0.8041594940802831

0.068,0.7087314918709794,0.633596020362006,0.8027050102425528

0.069,0.7010045087205681,0.6142562855584327,0.801234304034953

0.07,0.6951433069100842,0.6179628509188023,0.8010106512311996

0.07100000000000001,0.6868458683415585,0.603657238002834,0.7770104705301907

0.07200000000000001,0.6803221815973931,0.615021597910229,0.7693990218658078

0.07300000000000001,0.6750328344721996,0.6028236289651323,0.7577752636642001

0.074,0.6684636436826034,0.5964377895517236,0.7627067781784743

0.075,0.6608662985394371,0.5667754664310183,0.7478686476714612

0.076,0.6570011220119208,0.5824042248187477,0.7575781625755009

0.077,0.6492001532648758,0.581804339608794,0.7433139323127844

0.078,0.6439072050570221,0.5729855845422731,0.728820465850935

0.079,0.6386430914134974,0.555376462245605,0.7336141958405159

0.08,0.633264779803467,0.56230344419978,0.7249141770312235

0.081,0.6289974092429662,0.5291689574829503,0.7193022671662896

0.082,0.6225061460006194,0.5561688626774248,0.713346814742639

0.083,0.6165301484290578,0.5360097063192961,0.7078504304412412

0.084,0.6103763194103271,0.5337080106923484,0.7005351231630049

0.085,0.6046533213161662,0.5087300536336555,0.685215893487837

0.08600000000000001,0.5997235309680203,0.5106071430813468,0.6958149346668199

0.08700000000000001,0.5920539347919739,0.5095585557711979,0.69190795475589

0.08800000000000001,0.587057234582246,0.48673191983069636,0.6794514682596149

0.089,0.5819573596655446,0.48392475770359467,0.6676327261305318

0.09,0.5766236182544897,0.493555155468552,0.670274762344039

0.091,0.5716109340280308,0.4949772375100876,0.6681444695972278

0.092,0.5653265695395251,0.48587785217238144,0.666649416674663

0.093,0.5587163738947059,0.47472621198565546,0.6430172926230755

0.094,0.5539588707981363,0.4693620165163931,0.641138880458857

0.095,0.5480102445906629,0.46394178553165266,0.6358959543989046

0.096,0.5426791448523242,0.4621904950120117,0.6477633008838812

