Intensity,Distance
0.05,5.095175110751833
0.05,5.04527486009989
0.05,5.124787839323698
0.05,5.08283463410121
0.05,5.4915425379274305
0.05,5.288837642702244
0.05,5.34149666238622
0.05,5.0235393448315655
0.05,5.015857720239298
0.05,5.347927648378745
0.05,5.359224483431543
0.05,5.0276777081153305
0.05,5.144442058326088
0.05,5.370632830299105
0.05,5.084943028302274
0.05,5.270790358054443
0.05,5.167544532777095
0.05,5.1041646309599145
0.05,5.128893655432047
0.05,5.203878396754718
0.05,5.337051047982076
0.05,5.298408442358205
0.05,5.362499171792239
0.05,5.072289864966693
0.05,5.525442285449813
0.05,5.677534993880437
0.05,5.431925665841865
0.05,5.318881997648992
0.05,5.423649332592159
0.05,5.354795848348367
0.05,5.394293255547955
0.05,5.377810867313176
0.05,5.402468637305871
0.05,5.175180613123059
0.05,5.321224687851078
0.05,4.925608867374138
0.05,5.146752647274382
0.05,5.271034401693678
0.05,5.27678583056172
0.05,5.080547850210315
0.05,4.8629966146138575
0.05,4.9405979989954565
0.05,5.070591129433406
0.05,5.765718461236666
0.05,5.42028376024013
0.05,5.054551041096139
0.05,5.066550851329534
0.05,5.541478483996113
0.05,5.137699477059302
0.05,5.581079310832116
0.05,5.269032520289722
0.05,5.435248391632766
0.05,5.275982882368449
0.05,5.240808103627679
0.05,5.443007396871978
0.05,5.419588218436609
0.05,5.16142734043179
0.05,5.422466950336409
0.05,5.534581671632288
0.05,5.3240908437116925
0.05,5.26676701568375
0.05,5.159874817907175
0.05,4.9942195736422565
0.05,5.246494181078175
0.05,5.214193910720152
0.05,5.230457754258301
0.05,5.437419628219342
0.05,5.387646119467423
0.05,5.3026473139958945
0.05,5.233169555995101
0.05,5.1914579167272015
0.05,5.222235973779783
0.05,5.302833855328249
0.05,5.3061165001491375
0.05,5.350737519459926
0.05,5.2217317845772655
0.05,5.088396452179674
0.05,5.097810747255414
0.05,4.933212062112113
0.05,5.557568890354358
0.05,5.764011775128155
0.05,5.537921497660525
0.05,5.042235636997134
0.05,5.04502024287262
